Artist,Vinyl,Date Checked,Condition,Catalogue #,Year Released ,Label,Discog Link
84 Rooms,84 Rooms,1/18/18,Good,1001,1982,Rackit,https://www.discogs.com/84-Rooms-84-Rooms/release/2676614
86,Closely Guarded Secret,1/18/18,Good,OHP1086,1985,OHP Records,https://www.discogs.com/86-Closely-Guarded-Secret/release/2968451
86,Provocation,1/18/18,Good,TR010,1987,Twilight Records,https://www.discogs.com/86-Provocation/master/506644
86,Minutes in a Day,1/18/18,Good,TR006,1986,Twilight Records,https://www.discogs.com/86-Minutes-In-A-Day/master/328656
8 Storey Window,I thought you told me everything ,1/18/18,Good,MM003,1994,Mad Minute Records,https://www.discogs.com/8-Storey-Window-I-Thought-You-Told-Me-Everything/release/3322563
